Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ecuador,ECU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,61.41,92.3,96.31,93.57,131.86,126.89,142.56,151.14,181.71,192.82,170.21,248.53,265.36,409.13,668.72,1162.24,1604.01,2142.19,
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704.79,2982.45,3060.03,3414.29,3601.33,3622.85,4004.55,4547.63,4961.3,6131.85,6608.36,7332.48,8345.18,8615.9,9171.76,9820.47,11109.22,11392.95,13326.67,
Euro area,EMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238855.81,246386,254819.97,263567.94,280005.46,309700.27,323971.14,341994.77,357571.17,373509.14,381371.14,397398.39,413718.92,421374.26,430422.04,424742.42,425952.81,425460.43,414171.55,
Eritrea,ERI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,6.68,12.33,14.3,11.69,11.76,19.12,16.55,9.5,5.96,10.47,12.93,6.25,10.52,7.45,10.67,8.7,13.65,21.37,
Spain,ESP,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24974.54,26436.54,28163.47,29296.77,31810.04,35877.12,39379.36,42297.4,44191.24,47338.3,48988.91,52255.99,54627.9,54909.58,56559.76,55147.04,55514.33,55432.15,54536.59,
Estonia,EST,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.56,520.4,506.01,566.38,633.93,712.32,872.88,1065.71,1133.18,1149.79,1400.31,1406.07,1501.17,1463.31,1690.56,1578.23,1555.17,1559,1414.72,
Ethiopia,ETH,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.04,169.68,201.12,210.33,212.02,223.04,277.3,336.85,362.02,414.53,446.26,505.4,649.65,787.09,1026.77,1041.68,1172.08,1657.99,1994.44,
European Union,EUU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289120.62,298686.46,309136.88,320240.36,341046.71,376760.04,393954.02,416809.27,437580.39,457380.81,469504.83,489695.69,511014.82,521686.4,536381.7,533692.6,535925.58,536753,524444.25,
Fragile and conflict affected situations,FCS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608.17886510603,3697.17894957517,3875.98108372283,4299.00228548455,4502.27257708812,5202.37790955462,6100.3422597959,6580.67836666312,7116.08922500636,8172.05276270342,8838.41152208226,8954.14432111852,9139.00122312546,9382.16369497229,10107.1414355888,10004.2488525102,11159.6255681947,13020.3614386841,18436.1810440857,
Finland,FIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7442.32,7774.78,7838.31,8015.51,8733.97,9159.19,9269.05,9448.99,9630.91,10002.57,10027.04,10307.81,10520.43,10849.07,11314.67,10942.46,11106.38,10768.81,10598.94,
